arm,label,scheme,bin,n,mean_predicted,observed_rate,gap
R4_demo_acq,deterioration_icu_24h,equal_mass,2,427,0.018887417378901053,0.02107728337236534,0.0021898659934642857
R4_demo_acq,deterioration_icu_24h,equal_mass,3,427,0.026224603807563886,0.02107728337236534,-0.005147320435198548
R4_demo_acq,deterioration_icu_24h,equal_mass,4,427,0.0344948441810057,0.0468384074941452,0.012343563313139502
R4_demo_acq,deterioration_icu_24h,equal_mass,5,427,0.04486408950946802,0.053864168618266976,0.009000079108798957
R4_demo_acq,deterioration_icu_24h,equal_mass,6,427,0.057034626428130626,0.0468384074941452,-0.010196218933985424
R4_demo_acq,deterioration_icu_24h,equal_mass,7,428,0.07150605219746774,0.08411214953271028,0.012606097335242539
R4_demo_acq,deterioration_icu_24h,equal_mass,8,427,0.08769189666584261,0.10304449648711944,0.015352599821276833
R4_demo_acq,deterioration_icu_24h,equal_mass,9,427,0.10697296592975454,0.11241217798594848,0.005439212056193937
R4_demo_acq,deterioration_icu_24h,equal_mass,10,427,0.1301169981180038,0.14285714285714285,0.012740144739139037
R4_demo_acq,deterioration_icu_24h,equal_mass,11,427,0.15906359275382034,0.18032786885245902,0.02126427609863868
R4_demo_acq,deterioration_icu_24h,equal_mass,12,427,0.21645781962780042,0.21779859484777517,0.0013407752199747491
R4_demo_acq,deterioration_icu_24h,equal_mass,13,427,0.32710591336728034,0.33489461358313816,0.007788700215857813
R4_demo_acq,deterioration_icu_24h,equal_mass,14,428,0.5290712601852505,0.5093457943925234,-0.01972546579272716
R4_demo_acq,deterioration_mortality_28d,equal_width,0,5278,0.02270265089728113,0.02140962485790072,-0.0012930260393804079
R4_demo_acq,deterioration_mortality_28d,equal_width,1,860,0.0914267726245627,0.10232558139534884,0.01089880877078614
R4_demo_acq,deterioration_mortality_28d,equal_width,2,169,0.16163738727568086,0.14792899408284024,-0.013708393192840618
R4_demo_acq,deterioration_mortality_28d,equal_width,3,77,0.2316587300082924,0.36363636363636365,0.13197763362807124
R4_demo_acq,deterioration_mortality_28d,equal_width,4,34,0.2946588848058355,0.38235294117647056,0.08769405637063504
R4_demo_acq,deterioration_mortality_28d,equal_width,5,9,0.3499382582476872,0.3333333333333333,-0.01660492491435389
R4_demo_acq,deterioration_mortality_28d,equal_width,6,1,0.447348970188931,1.0,0.552651029811069
R4_demo_acq,deterioration_mortality_28d,equal_mass,0,428,0.0036089815608257784,0.002336448598130841,-0.0012725329626949375
R4_demo_acq,deterioration_mortality_28d,equal_mass,1,429,0.0047019253537096,0.002331002331002331,-0.002370923022707269
R4_demo_acq,deterioration_mortality_28d,equal_mass,2,428,0.0071334978173367095,0.002336448598130841,-0.004797049219205868
R4_demo_acq,deterioration_mortality_28d,equal_mass,3,429,0.00929597520434349,0.006993006993006993,-0.0023029682113364968
R4_demo_acq,deterioration_mortality_28d,equal_mass,4,428,0.01160282513682016,0.014018691588785047,0.0024158664519648865
R4_demo_acq,deterioration_mortality_28d,equal_mass,5,429,0.01470606789059342,0.009324009324009324,-0.005382058566584096
