table,row_key,column,text,value,format,source_file,source_key,source_column,aggregate,unit
T3,R4_demo_acq|deterioration_mortality_365d,primary,exploratory,,verdict,results/p3_recovery.csv,arm=R4_demo_acq;label=deterioration_mortality_365d;quantity=recovery_ratio,is_primary,,not_applicable
T3,R5_tabular|deterioration_icu_24h,ratio,1.3122,1.3121940011143398,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,estimate,,record
T3,R5_tabular|deterioration_icu_24h,ratio,1.2497,1.249700136858829,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,ci_lo,,record
T3,R5_tabular|deterioration_icu_24h,ratio,1.3833,1.3832625552493465,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,ci_hi,,record
T3,R5_tabular|deterioration_icu_24h,numerator,0.9164,0.9163855328376704,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,numerator_auroc,,record
T3,R5_tabular|deterioration_icu_24h,denominator,0.8173,0.8173201009028147,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,denominator_auroc,,record
T3,R5_tabular|deterioration_icu_24h,meets,yes,,verdict,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,meets_target,,not_applicable
T3,R5_tabular|deterioration_icu_24h,primary,exploratory,,verdict,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_icu_24h;quantity=recovery_ratio,is_primary,,not_applicable
T3,R5_tabular|deterioration_mortality_28d,ratio,1.1811,1.1810840262253557,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_mortality_28d;quantity=recovery_ratio,estimate,,record
T3,R5_tabular|deterioration_mortality_28d,ratio,1.1132,1.1131966813468404,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_mortality_28d;quantity=recovery_ratio,ci_lo,,record
T3,R5_tabular|deterioration_mortality_28d,ratio,1.2564,1.256390460886179,.4f,results/p3_recovery.csv,arm=R5_tabular;label=deterioration_mortality_28d;quantity=recovery_ratio,ci_hi,,record
